,date,country,local,industry_sector,accident_level,potential_accident_level,gender,employee_type,critical_risk,description,year,month,day,weekday,week_of_year,quarter,description_processed
86,2016-04-08,Country_01,3,Mining,1,IV,Male,Employee,Others,"During the maintenance of the locomotive N ° 16 in the workshop of level -1170, the assistant when pulling the locomotive chair backwards stumbles against the ventilation grille, falling on the platform of the locomotive and then to the floor of the workshop from a height 1.17m generating the injury. At the time of the accident the assistant used his safety helmet and chin strap.",2016,4,8,Friday,14,2,maintenance locomotive n workshop level assistant pulling locomotive chair backwards stumble ventilation grille falling platform locomotive floor workshop height injury accident assistant used safety helmet chin strap
87,2016-04-11,Country_01,1,Mining,1,IV,Male,Third Party,Others,"Once the RB machine is lifted (weight 7 tn) at 15 cm from the floor level, the accidently proceeds to pull the RB machine with a key of 5 tons (maximum cap), to lay it on the floor, after advancing 70 cm horizontally, the anchor bolt (pig tail type, 5/8 ""diameter) to which the key was hooked, it breaks transversely, and with the pulling force, this key is projected onto the injured person's left shoulder causing the injury. - The injured was 1.50 meters from the key. - At the time of the incident, the assistant was 5 meters away doing order and cleaning",2016,4,11,Monday,15,2,rb machine lifted weight floor level accidently proceeds pull rb machine key ton maximum cap lay floor advancing horizontally anchor bolt pig tail type key hooked break transversely pulling force key projected onto injured person left shoulder injury injured key incident assistant away order cleaning
88,2016-04-11,Country_01,1,Mining,1,IV,Male,Employee,Others,"When positioning the scissor bolter N ° 09 in the East of stope 175 (40 meters from the top), the operator and his assistant verify that the ventilation sleeve will obstruct the support of the left gable, so they decide to section the sleeve and direct it towards the main corridor; the injured person decides to climb to the roof of the equipment cabin (surface: 1.5 square meters) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform the maintenance and the assistant was wearing a safety helmet and chin strap.",2016,4,11,Monday,15,2,positioning scissor bolter n east stope top operator assistant verify ventilation sleeve obstruct left gable decide section sleeve direct towards main corridor injured person decides climb roof equipment cabin surface : square carry reinstallation sectioned sleeve without noticing step empty fall equipment height accident operator scissor bolter platform equipment positioned blocked perform maintenance assistant wearing safety helmet chin strap
89,2016-04-14,Country_02,8,Metals,1,III,Male,Employee,Pressurized Systems,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal .",2016,4,14,Thursday,15,2,cleaning vertical pipe using hydrojet equipment high pressure hose hose returned obstruction pipe residue reaching operator actuating equipment pedal
90,2016-04-14,Country_01,4,Mining,1,II,Male,Third Party,Others,"In bypass 100 of level 1970 when the workers of the company Incimet Raul (operator of Bolter bolting team) and Rolando (assistant) retired after installing the support with helical bolt, the pink team with a mesh overhanging the gable, so the teacher tells his assistant to cut the mesh and the instant the assistant finished cutting the mesh, it suddenly rises hitting his face causing the injury described.",2016,4,14,Thursday,15,2,bypass level worker incimet raul operator bolter bolting team rolando assistant retired installing helical bolt pink team mesh overhanging gable teacher tell assistant cut mesh instant assistant finished cutting mesh suddenly rise hitting face injury
91,2016-04-16,Country_01,4,Mining,1,III,Male,Third Party,Others,"Being 2:40 am. Approximately, Luna - master loader of the company Incimet was carrying out the loading activity of the front in the Cruiser 771 of the 1970 level; in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.",2016,4,16,Saturday,15,2,luna master loader incimet carrying loading front cruiser level tying pentacord crown trying reach fanel left side loses balance movement ladder fall floor resulting accident
92,2016-04-16,Country_01,3,Mining,1,III,Male,Third Party,Others,"In moments that the worker-mechanic was the workshop of maintenance, the wire of his mining lamp is hooked with a drill hole (4.0 Kg) that was on the work table of the workshop, which fell 1.m and impacted his left foot causing a minor bruise. At the time of the accident the collaborator used his safety boots with steel toecap.",2016,4,16,Saturday,15,2,workermechanic workshop maintenance wire mining lamp hooked drill hole table workshop fell impacted left foot minor bruise accident collaborator used safety boot steel toecap
93,2016-04-15,Country_01,3,Mining,1,II,Male,Employee,Others,"In general store, while two store attendants removed the compartment a rubber mesh for material classification - 1.8 m.x1.2 m.x0.02 m .; 60 kg of weight - when lifted approx. 40 cm to position it against the edge of another mesh placed on the floor on a litter, this slightly imprisons the index finger of the right hand of one of the assistants causing a minor cutting wound. At the time of the accident the injured worker used leather gloves.",2016,4,15,Friday,15,2,general store store attendant removed compartment rubber mesh material classification mx mx weight lifted position edge another mesh placed floor litter slightly imprisons index finger right hand assistant minor cutting wound accident injured worker used leather glove
94,2016-04-17,Country_02,5,Metals,1,IV,Male,Employee,Cut,"Employee reports that when attempting to manually ingot of Zinco, on the rotary table of the L1 ingot, hit with the left hand against the angle in the structure of the ingot, by pressing the finger between the ingot and the angle.",2016,4,17,Sunday,15,2,report attempting manually ingot zinco rotary table l ingot hit left hand angle structure ingot pressing finger ingot angle
95,2016-04-18,Country_01,3,Mining,1,III,Male,Third Party,Others,"When moving a roll of electro-welded mesh of 95 kg of weight to place on the hopper of the truck, two operators pull the roll of mesh to bring it to the hopper of the truck at which time the imprisonment of the left hand of one of the operators between the mesh and the body of the hopper generating the described injury. At the time of the accident, both operators were wearing PVC-type safety gloves.",2016,4,18,Monday,16,2,moving roll electrowelded mesh weight place hopper truck operator pull roll mesh bring hopper truck imprisonment left hand operator mesh body hopper injury accident operator wearing pvctype safety glove
96,2016-04-21,Country_02,2,Mining,1,V,Male,Employee,Others,"When performing cleaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial injury",2016,4,21,Thursday,16,2,cleaning lhd block f level operator surprised rock block displacement side gallery reaching right leg superficial injury
97,2016-04-22,Country_01,1,Mining,1,II,Male,Third Party,Others,"the workshop at the end of the welding work in the small bolter equipment, the welder proceeds to clean the inside of a metal stool, impregnated with thinner (flammable liquid) and with the help of a hammer and screwdriver proceeds to remove the oxides, when hitting The screwdriver with the hammer produces a flash in the internal base of the stool, which produces a slight burn in the right hand of the welder. - At the time of the accident, the welder only uses a glove on the left hand ..",2016,4,22,Friday,16,2,workshop end welding small bolter equipment welder proceeds clean inside metal stool impregnated thinner flammable liquid help hammer screwdriver proceeds remove oxide hitting screwdriver hammer produce flash internal base stool produce slight burn right hand welder accident welder us glove left hand
98,2016-04-23,Country_01,4,Mining,1,III,Male,Employee,Others,"Being 12:20 pm. Approximately in NV 1680 OB5 CX 018, Mr. Cesar - Operator of mine services, in an instant that he was picking up the cat position one of the truck crane of plate ACL 804, when raising with the right hand the lower part of the cat is indexed the index finger of the left hand, between the body of the cylinder valve of the cat and the valve of the turntable that was in the upper part.",2016,4,23,Saturday,16,2,ob cesar operator mine service instant picking cat position truck crane plate acl raising right hand lower part cat indexed index finger left hand body cylinder valve cat valve turntable upper part
99,2016-04-22,Country_02,5,Metals,2,IV,Male,Third Party,Pressurized Systems / Chemical Substances,The employee reports that he placed the air lance in the tank 1604 and then opened the manual air valve and projection of acid solution heated toward him reaching the front of the left thigh.,2016,4,22,Friday,16,2,report placed air lance tank opened manual air valve projection acid solution heated toward reaching front left thigh
100,2016-04-26,Country_02,5,Metals,1,II,Female,Third Party,Cut,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,2016,4,26,Tuesday,17,2,injured woman cleaning cleaning sink collection room pierced finger fragment glass
101,2016-04-28,Country_02,5,Metals,1,III,Male,Third Party (Remote),Chemical substances,"after discharging sodium hydroxide and disconnecting the hose, the employee placed next to the demineralization suction pump, which was turned off, receiving projection from the pump sensor, causing a 1st degree burn.",2016,4,28,Thursday,17,2,discharging sodium hydroxide disconnecting hose placed next demineralization suction pump turned receiving projection pump sensor st degree burn
102,2016-04-29,Country_01,4,Mining,3,IV,Male,Third Party,Others,"Mr. Jesus operator of the concrete throwing team (alpha N ° 18) was shooting shotcrete in the Cx work. 001 Nv. 1710 OB1. applying 0.5 m3, he realizes that the additive did not come out in the mix, directing to lift the cover of the passage valve (54 Cm x 53 Cm of ¼ inch of thickness approximately 15 Kg). verifying that the valve was open, release the lid and it hits to the third finger of the left hand against the base, causing the injury.",2016,4,29,Friday,17,2,jesus operator concrete throwing team alpha n shooting shotcrete ob applying realizes additive come mix directing lift cover passage valve inch thickness verifying valve open release lid hit third finger left hand base injury
103,2016-04-30,Country_02,5,Metals,1,IV,Male,Employee,Pressed,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",2016,4,30,Saturday,17,2,return load entrance debarking machine trying align cathode pressed right hand
104,2016-04-30,Country_01,1,Mining,1,II,Male,Employee,Others,"The injured worker begins the work of presenting the support mesh cloth on the floor, making an initial cut in the mesh of a section of 0.3 m x 2.0 m for the ponchos, originating in the remaining mesh wicks (tips with prongs) protruding. When trying to make a second mesh cut, it is positioned at the edge of the remaining mesh with wicks to prevent them from curling, at which point it tries take your shear and remove the right foot of the mesh causing the mesh to roll up and embed a wick (tip with poles) through the left boot causing the injury. At the time of the accident the worker was wearing safety boots.",2016,4,30,Saturday,17,2,injured worker begin presenting mesh cloth floor making initial cut mesh section poncho originating remaining mesh wick tip prong protruding trying make second mesh cut positioned edge remaining mesh wick prevent curling point try take shear remove right foot mesh mesh roll embed wick tip pole left boot injury accident worker wearing safety boot
105,2016-04-30,Country_01,3,Mining,4,IV,Male,Third Party,Others,"In the DDH chamber of the company Explomin, located at the level -100 Socorro ramp 334, when the worker - assistant driller-was dismantling the fifth drill rod (NQ - 3 meters of steel with a weight of 24 kg) , using a stilson key (No. 18), at that moment the operator operates the rotation unit, the drill rod rotates by pressing the left hand of the worker against the base of the rod holder, causing an injury to the left hand. At the time of the accident, the drilling assistant used rubber gloves",2016,4,30,Saturday,17,2,ddh chamber explomin located level socorro ramp worker assistant drillerwas dismantling fifth drill rod nq steel weight using stilson key operator operates rotation unit drill rod rotates pressing left hand worker base rod holder injury left hand accident drilling assistant used rubber glove
106,2016-05-01,Country_01,4,Mining,1,IV,Male,Third Party,Others,"When carrying out the maneuver to increase the HQ pipe line, the driller Wilder indicates the assistant Gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller Without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury.",2016,5,1,Sunday,17,2,carrying maneuver increase hq pipe line driller wilder indicates assistant gilton introduce inner pipe drill assistant introduces inner pipe place hand box pipe driller without noticing move pipe assistant hand open chuck rotation unit dropping pipe imprisoning injured person right hand injury
107,2016-05-02,Country_02,5,Metals,1,IV,Female,Third Party (Remote),Chemical substances,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,2016,5,2,Monday,18,2,report climbing access ladder operating room ustulation surprised projection sulfuric acid
108,2016-05-04,Country_03,10,Others,1,I,Male,Third Party,Manual Tools,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut.",2016,5,4,Wednesday,18,2,geological mapping necessary hammer rock analysis clerk held pointed fragment slipped third quirodactyl right hand superficial cut
109,2016-05-03,Country_01,4,Mining,2,IV,Male,Third Party,Others,"Being 04:20 p.m. approximately, in the Nv. 1880, CX-781. Mr. Kevin helper of Jumbo 55, removed the drill rod that was in the drilling hole, instants that breaks the chain of subjection of the table of the drilling machine, sliding down achieving rubbing the index finger of the left hand, causing the injury.",2016,5,3,Tuesday,18,2,kevin helper jumbo removed drill rod drilling hole instant break chain subjection table drilling machine sliding achieving rubbing index finger left hand injury
110,2016-05-04,Country_01,4,Mining,1,III,Male,Employee,Others,"Being 11:30 am. approximately, in the Nv. 1940, CX-791. Mr. Francisco - Operator of the Scoop 18, observes a polyethylene pipe thrown on the road, proceeding to lower his equipment and when was found by lifting the pipe to the hook of the right gable, a piece of rock that was suspended in the lectro-welded mesh, impacting on the operator's right eyebrow, causing the injury.",2016,5,4,Wednesday,18,2,francisco operator scoop observes polyethylene pipe thrown road proceeding lower equipment found lifting pipe hook right gable piece rock suspended lectrowelded mesh impacting operator right eyebrow injury
111,2016-05-04,Country_02,5,Metals,1,III,Female,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler.",2016,5,4,Wednesday,18,2,conducting inspection evaluate carried pump house ustulation steam station hit sulfuric acid spill line located pump house thermal recovery boiler
112,2016-05-04,Country_02,5,Metals,1,III,Male,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps.",2016,5,4,Wednesday,18,2,conducting inspection evaluate carried pump house ustulation steam station struck sulfuric acid spill line located house thermal recovery boiler pump
113,2016-05-05,Country_02,5,Metals,1,III,Male,Third Party,Manual Tools,"The employee was sanding a piece in the Electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand.",2016,5,5,Thursday,18,2,sanding piece electrolysis end operation protective cap disk spun back left hand
114,2016-05-05,Country_02,8,Metals,1,II,Male,Third Party (Remote),Manual Tools,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.",2016,5,5,Thursday,18,2,die cutting feeder pead geomembrane blanket weld seam store extruder stylet blade direction left forearm resulting blunt short injury
115,2016-05-11,Country_01,3,Mining,1,III,Male,Third Party,Others,"In the welding workshop of level 3620 (Ex -450 tunnel quinoa), in moments that the assistant raised a wooden strut - 3m long x 4 ""diameter - 20 Kg of weight, to place it on the work table at 1.30 m of height, treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder.",2016,5,11,Wednesday,19,2,welding workshop level ex tunnel quinoa assistant raised wooden strut long weight place table height tread another wooden strut placed floor losing balance falling level lying laterally concrete wall bruise left shoulder
116,2016-05-12,Country_01,6,Metals,1,II,Male,Third Party (Remote),Chemical substances,"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion.",2016,5,12,Thursday,19,2,sunday collaborator go saying accident day ago internal maintenance heat exchanger defined confined space risk burning acid leaving confined space remove protective glove without passed emergency shower skin contact occurs sulfate lesion
117,2016-05-11,Country_01,1,Mining,1,IV,Male,Third Party,Others,"In moments that the truck of transport of personnel of the company MCEISA plate AJG-751, moved from the Nv 3300 to surface, missing 50m to reach the mouth of the Nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck. They raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck. At the time of the accident the employee was wearing his safety helmet and chin strap.",2016,5,11,Wednesday,19,2,truck transport personnel mceisa plate ajg moved surface missing reach mouth gearbox respond driver stop truck inspect along maintenance personnel traveling truck raise cabin manually put change first continue trip culminated task driver maintenance personnel lower cabin weight fall hitting driver cabin hopper truck accident wearing safety helmet chin strap
118,2016-05-14,Country_01,1,Mining,1,IV,Male,Third Party,Others,"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding.",2016,5,14,Saturday,19,2,completing welding backhoe bucket hour used glass moon welder feel slight discomfort eye transferred service evaluation accident welder used facial mask welding
119,2016-05-17,Country_01,11,Others,1,II,Male,Employee,Others,"When an employee of MILPO Lima visited the facilities, when he was at level 2900, waiting for the personnel cage to go up to level 4070, drops of water fall from the ceiling from a height of 2.20 meters approximately, product of a slight filtration in the crown (sustained with shotcrete), a drop enters the right eye causing discomfort in the right eye. According to the employee, at the time of the accident the lenses had been removed to clean them, this happened after the visit to the interior of the mine.",2016,5,17,Tuesday,20,2,milpo lima visited facility level waiting personnel cage go level drop water fall ceiling height product slight filtration crown sustained shotcrete drop enters right eye discomfort right eye according accident lens removed clean happened visit interior mine
120,2016-05-19,Country_01,3,Mining,1,IV,Male,Third Party (Remote),Others,"At the El Porvenir sub-station at level 4240, when assembling a metal structure (approximately 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the Metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. At the time of the accident the operators made use of their safety gloves.",2016,5,19,Thursday,20,2,el porvenir substation level assembling metal structure lifting system three operator try accommodate structure anchor base metallic structure slide direction injured worker right hand producing slight right hand accretion head bolt base structure injury accident operator safety glove
121,2016-05-18,Country_02,5,Metals,1,III,Male,Employee,Others,"The employee was performing carbon steel pipe marking activity when his helmet was struck by a tube, causing a scalp wound due to the impact of the helmet's sheepskin.",2016,5,18,Wednesday,20,2,carbon steel pipe marking helmet struck tube scalp wound impact helmet sheepskin
122,2016-05-22,Country_02,8,Metals,1,III,Male,Employee,Blocking and isolation of energies,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",2016,5,22,Sunday,20,2,maintenance lxpb pump projection silicate pulp reaching right leg
123,2016-05-20,Country_01,6,Metals,1,I,Male,Third Party,Fall prevention (same level),"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",2016,5,20,Friday,20,2,collaborator juveni washing tabolas pot washing suffers feeling dizziness faintness fall level producing slight concussion head
124,2016-05-22,Country_01,3,Mining,1,IV,Male,Third Party,Others,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",2016,5,22,Sunday,20,2,transit fuel tanker level level north ramp passing level operator feel right rear tire skid operator performs defensive maneuver truck hit left gable injury accident pilot copilot wearing safety belt safety glass helmet
125,2016-05-24,Country_03,10,Others,4,IV,Male,Third Party,Fall,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care.",2016,5,24,Tuesday,21,2,field trip return lunch wellfield slipped loose stone place intention balancing tried hold onto tree falling right arm fracture distal end radius paralyzed referred hospital paracatu underwent care
126,2016-05-12,Country_01,4,Mining,1,III,Male,Employee,Others,"Being 10:50 am. Approximately, in the workshop of mechanical maintenance (surface) Mr. Orlando of boltec) and his assistant Mr. Macedonio made the cut of the link to shorten the distance of the chain and hold the injection hose of resin, instant that the saw blade leaves its cutting position, affecting the second finger of the left hand causing the injury.",2016,5,12,Thursday,19,2,workshop mechanical maintenance surface orlando boltec assistant macedonio cut link shorten distance chain hold injection hose resin instant saw blade leaf cutting position affecting second finger left hand injury
127,2016-05-25,Country_01,4,Mining,2,III,Male,Employee,Others,"During the tests of the soft starter of the engine of belt 03 the collaborator Igor moves around the site and at approximately 19:45 pm falls into a trench for electric cables, (0.90m deep), the same as was found partially discovered.",2016,5,25,Wednesday,21,2,test soft starter engine belt collaborator igor move around site fall trench electric cable deep found partially discovered
128,2016-05-27,Country_02,2,Mining,1,V,Male,Employee,Others,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",2016,5,27,Friday,21,2,checking voltage power outlet plug socket make sure connection correct small electrical arc power cord slight burn right hand wrist protection system acted
129,2016-05-25,Country_03,10,Others,1,I,Male,Third Party,Bees,"The ground team coordinated by Prospector with his assistants: da Silva and Wila 14:45 p.m., in a prong opening to access and collect soil samples, Auxiliar came across some he tried to divert about 10 meters to the right of the place, but at the moment of the diversion he came across the marimbondo house in front of him, not giving time for any other action since the thugs were already agitated, da Silva 5 times: a sting in the head, another behind the neck and other 3 stings in the face. Since all have allergy tests, it was verified that there was no allergic reaction, washed the affected part and returned to normal activities.",2016,5,25,Wednesday,21,2,ground team coordinated prospector assistant : silva wila prong opening access collect soil sample auxiliar across tried divert right place diversion across marimbondo house front giving action since thug already agitated silva time : sting head another behind neck sting face since allergy test verified allergic reaction washed affected part returned normal
130,2016-05-26,Country_03,10,Others,1,I,Male,Third Party,Bees,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities.",2016,5,26,Thursday,21,2,geological reconnaissance farm lzaro team composed felipe divino de morais normal encountered ciliary forest needed enter forest verify rock outcrop front divine realized opening access machete took bite neck attack allergic reaction continued normally completed leaving forest access divine assistant attacked snake suffered sting forehead moved away verified type allergic reaction returned normal
131,2016-05-26,Country_03,10,Others,1,I,Male,Employee,Others,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities.",2016,5,26,Thursday,21,2,geological reconnaissance farm lzaro team composed felipe divino de morais normal encountered ciliary forest needed enter forest verify rock outcrop front divine realized opening access machete took bite neck attack allergic reaction continued normally completed leaving forest access divine assistant attacked snake suffered sting forehead moved away verified type allergic reaction returned normal
132,2016-06-01,Country_02,5,Metals,1,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.,2016,6,1,Wednesday,22,2,clerk peeling pulling sheet another struck th chirodactile left hand tearing pvc sleeve caused cut
133,2016-06-02,Country_02,5,Metals,1,III,Male,Employee,Cut,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",2016,6,2,Thursday,22,2,process washing material becker tip material broken caused cut th finger right hand
134,2016-06-03,Country_01,1,Mining,1,II,Male,Third Party,Others,"In circumstances that the collaborator performed the cleaning of the ditch 3570, 0.50 cm deep, removing the pipe of 2 ""HDPE material with an estimated weight of 30 Kg. Together with two collaborators, when pushing the tube to drain the dune, the collaborator is hit on the lower right side lip producing a slight blow to the lip. At the time of the event, the collaborator had a safety helmet, glasses and gloves.",2016,6,3,Friday,22,2,collaborator cleaning ditch deep removing pipe hdpe material estimated weight together collaborator pushing tube drain dune collaborator hit lower right side lip producing slight blow lip collaborator safety helmet glass glove
135,2016-06-04,Country_01,4,Mining,5,V,Male,Third Party,Others,"Being 01:50 p.m. approximately, in the Nv. 1800, in the Tecnomin winery. Mr. Chagua - Bodeguero was alone, cutting wires No. 16 with a grinder, previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches. Originating traumatic amputation of two fingers of the left hand",2016,6,4,Saturday,22,2,tecnomin winery chagua bodeguero alone cutting wire grinder previously removed protection guard disk inch adapted disk crosscutter inch originating traumatic amputation finger left hand
136,2016-06-03,Country_03,10,Others,2,II,Male,Third Party,Others,"During the field trip, on LT 01 of the Lajes target, Junior da Costa official stepped on a wooden stump that was on the ground, approximately 5 cm, which pierced his boot wounding the sole of the right foot. At the time of the accident, the employee was using all the PPE required for the activity and had his hands free. The employee was taken to the hospital, where he went through medical care, and was released to return to his activities the next day of work.",2016,6,3,Friday,22,2,field trip lt lajes target junior costa official stepped wooden stump ground pierced boot wounding sole right foot accident using ppe required hand free taken hospital went care released return next day
137,2016-06-05,Country_01,3,Mining,1,III,Male,Employee,Others,"at level 2900, during the ore hauling activity with locomotive from the OP2 to the bines, at times when the convoy was traveling through the hopper of the OP1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the HDP pipeline in the gable the work at 1.65 meters from the floor. At the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. At the time of the accident the Split set only accompanied the movement path of the convoy.",2016,6,5,Sunday,22,2,level ore hauling locomotive op bine time convoy traveling hopper op assistant motorist riding saddle holding pole struck weakly split set suspended hdp pipeline gable floor accident assistant wearing safety equipment wearing seatbelt accident split set accompanied movement path convoy
138,2016-06-05,Country_01,6,Metals,1,I,Male,Employee,Fall prevention,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated.",2016,6,5,Sunday,22,2,work electrician management electrometallurgy suffers contusion right leg suffering slip height step staircase code ele abb furnace cat ladder referred collaborator service treated
139,2016-06-08,Country_01,4,Mining,1,III,Male,Third Party,Others,"At times that the workers: Technician and Mr. Orlando of Boltec 2 of Cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while Mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.",2016,6,8,Wednesday,23,2,time worker : technician orlando boltec cia wanted pas hand stacker sardinel technician pulled hydraulic arm pushing nail equipment reaching trench rim tied team turn forward falling technician
140,2016-06-07,Country_01,1,Mining,1,I,Male,Employee,Others,"In circumstances where the employee made the connection of the electric cable of the No. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.",2016,6,7,Tuesday,23,2,connection electric cable jumbo operator feel discomfort face cleaning hand using rubber glove superficial laceration small wound left cheekbone
141,2016-06-07,Country_01,3,Mining,1,III,Male,Third Party,Others,"In phase III of the concentrator plant, the maintenance personnel carried out the removal of transmission belt from the flotation cell of Pb cleaning; at the moment the mechanic removed the belt he leans on his left leg which slides towards the grating floor, leaving his foot between the two pipes generating the lesion described. The work was carried out at the floor level and at the time of the accident, the staff had put on their safety equipment.",2016,6,7,Tuesday,23,2,phase iii concentrator plant maintenance personnel carried removal transmission belt flotation cell pb cleaning mechanic removed belt lean left leg slide towards grating floor leaving foot pipe lesion carried floor level accident staff put safety equipment
142,2016-06-08,Country_01,6,Metals,4,IV,Male,Employee,Fall prevention (same level),At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.,2016,6,8,Wednesday,23,2,operator eustaquio fall metal platform give access tank strong acid leaching stage suffers luxofractures wrist left leaning floor hand operator directed first tank strong acid leaching stage tk verify entry spent taque
